event_id,stock_code,csv_agent,csv_direct_like,parsed_disclosure_type,mismatch
配股_01160.hk_18/08/26,01160,滙富金融,False,AGENT_SOURCED,False
配股_01166.hk_03/12/25,01166,雅利多,False,AGENT_SOURCED,False
配股_01177.hk_13/01/26,01177,-,False,NO_DEF,False
配股_01201.hk_17/04/26,01201,裕承資產管理,False,AGENT_SOURCED,False
配股_01201.hk_27/11/25,01201,-,True,DIRECT_SUBSCRIPTION,False
配股_01208.hk_16/06/26,01208,"中信, 摩根士丹利, 美銀, 花旗",False,AGENT_SOURCED,False
供股_01208.hk_04/06/24,01208,,True,NO_DEF,False
配股_01228.hk_16/02/26,01228,-,True,AGENT_SOURCED,True
配股_01239.hk_10/12/25,01239,-,True,DIRECT_SUBSCRIPTION,False
配股_01262.hk_05/02/26,01262,-,False,NO_DEF,False
配股_01277.hk_03/06/26,01277,中信,False,NO_DEF,False
配股_01280.hk_06/01/26,01280,-,True,NO_DEF,False
配股_01283.hk_30/09/25,01283,-,False,NO_DEF,False
配股_01286.hk_27/05/26,01286,"星展亞洲, 滙豐",False,AGENT_SOURCED,False
配股_01323.hk_11/06/26,01323,凱基,False,AGENT_SOURCED,False
配股_01327.hk_04/06/26,01327,貝格隆,False,AGENT_SOURCED,False
供股_01327.hk_02/12/24,01327,,True,UNKNOWN,False
配股_01332.hk_25/08/26,01332,-,True,DIRECT_SUBSCRIPTION,False
配股_01333.hk_26/07/26,01333,"招銀國際, 都會金融",False,NO_DEF,False
配股_01333.hk_16/11/25,01333,"國泰君安, TradeGo Markets",False,NO_DEF,False
配股_01340.hk_20/05/26,01340,華業,False,AGENT_SOURCED,False
配股_01341.hk_01/12/25,01341,梧桐,False,NO_DEF,False
供股_01355.hk_24/06/26,01355,,True,UNKNOWN,False
供股_01355.hk_21/11/24,01355,,True,UNKNOWN,False
配股_01361.hk_28/04/26,01361,瑞士銀行,False,NO_DEF,False
配股_01372.hk_13/05/26,01372,-,True,NO_DEF,False
配股_01372.hk_06/03/26,01372,-,True,NO_DEF,False
配股_01372.hk_08/01/26,01372,-,True,NO_DEF,False
配股_01378.hk_18/11/25,01378,"瑞士銀行, 招銀國際, 中信建投",False,NO_DEF,False
供股_01380.hk_27/12/24,01380,,True,UNKNOWN,False
供股_01380.hk_20/12/24,01380,,True,UNKNOWN,False
配股_01380.hk_24/04/26,01380,-,True,DIRECT_SUBSCRIPTION,False
配股_01384.hk_13/08/26,01384,"中信里昂, 興證國際, 新百利融資, 天澤",False,NO_DEF,False
配股_01384.hk_21/05/26,01384,"中信里昂, 興證國際, 浦銀國際, 新百利融資, 天澤",False,NO_DEF,False
配股_01396.hk_29/06/26,01396,-,True,NO_DEF,False
配股_01396.hk_04/12/25,01396,-,True,NO_DEF,False
供股_01396.hk_02/09/24,01396,,True,UNKNOWN,False
配股_01396.hk_03/02/26,01396,-,True,DIRECT_SUBSCRIPTION,False
供股_01401.hk_23/07/25,01401,,True,UNKNOWN,False
配股_01413.hk_10/11/25,01413,昌利,False,AGENT_SOURCED,False
供股_01413.hk_14/04/26,01413,,True,UNKNOWN,False
配股_01416.hk_21/07/26,01416,-,False,NO_DEF,False
配股_01421.hk_06/01/26,01421,宏智,False,AGENT_SOURCED,False
供股_01421.hk_22/03/24,01421,,True,UNKNOWN,False
配股_01429.hk_14/08/26,01429,朝盛資本,False,AGENT_SOURCED,False
配股_01449.hk_24/07/26,01449,德林,False,NO_DEF,False
配股_01452.hk_10/07/26,01452,-,True,DIRECT_SUBSCRIPTION,False
配股_01466.hk_29/09/25,01466,-,True,AGENT_SOURCED,True
配股_01468.hk_09/03/26,01468,京基,False,AGENT_SOURCED,False
供股_01468.hk_18/10/24,01468,,True,UNKNOWN,False
配股_01483.hk_30/01/26,01483,-,True,AGENT_SOURCED,True
供股_01486.hk_29/04/25,01486,,True,UNKNOWN,False
配股_01501.hk_14/01/26,01501,"中國國際金融, 興證國際",False,AGENT_SOURCED,False
配股_01519.hk_15/01/26,01519,-,False,NO_DEF,False
配股_01520.hk_21/01/26,01520,-,True,AGENT_SOURCED,True
供股_01529.hk_14/02/25,01529,,True,UNKNOWN,False
配股_01530.hk_02/12/25,01530,-,True,AGENT_SOURCED,True
供股_01536.hk_24/07/26,01536,,True,NO_DEF,False
配股_01539.hk_06/08/26,01539,-,True,NO_DEF,False
配股_01541.hk_09/10/25,01541,瑞士銀行,False,AGENT_SOURCED,False
供股_01559.hk_26/01/26,01559,,True,UNKNOWN,False
配股_01568.hk_05/05/26,01568,佳富達,False,AGENT_SOURCED,False
配股_01575.hk_05/02/26,01575,力高,False,AGENT_SOURCED,False
供股_01591.hk_12/12/25,01591,,True,UNKNOWN,False
供股_01592.hk_14/01/26,01592,,True,UNKNOWN,False
配股_01613.hk_05/03/26,01613,裕承資產管理,False,AGENT_SOURCED,False
供股_01613.hk_15/10/25,01613,,True,UNKNOWN,False
配股_01626.hk_12/08/26,01626,-,False,NO_DEF,False
供股_01628.hk_01/11/24,01628,,True,AGENT_SOURCED,True
配股_01631.hk_12/05/26,01631,金利豐,False,AGENT_SOURCED,False
配股_01655.hk_23/01/26,01655,雅利多,False,AGENT_SOURCED,False
配股_01655.hk_07/11/25,01655,盈立,False,AGENT_SOURCED,False
配股_01672.hk_03/02/26,01672,花旗,False,AGENT_SOURCED,False
配股_01676.hk_11/03/26,01676,凱基,False,AGENT_SOURCED,False
配股_01676.hk_09/12/25,01676,金益金融,False,AGENT_SOURCED,False
供股_01676.hk_05/06/26,01676,,True,NO_DEF,False
供股_01676.hk_18/10/24,01676,,True,UNKNOWN,False
供股_01679.hk_17/06/25,01679,,True,UNKNOWN,False
配股_01679.hk_27/05/26,01679,智易東方,False,DIRECT_SUBSCRIPTION,False
供股_01680.hk_03/10/25,01680,,True,UNKNOWN,False
供股_01682.hk_09/03/26,01682,,True,UNKNOWN,False
